하늘천 따지 검을현 누루황       天地玄黃
구할구 옛고 찾을심 의논론       求古尋論
흩어질산 생각려 노닐소 멀요     散慮逍遙
기쁠흔 아뢸주 여러루 보낼견     欣奏累遣
                               
슬플척 사례사 기쁠환 부를초      ?謝歡招
개천거 짐하 맞을적 지낼력       渠荷的歷
동산원 풀망 빼낼추 조목조       園莽抽條
나무비 나무파 늦을만 푸를취     枇杷晩翠
오동오 오동동 이를조 마를조     梧桐早凋


베풀진 뿌리근 맡길위 가릴예     陳根委?  
떨어질락 잎사귀엽 날릴표 날릴요 落葉飄?  
놀유 곤이곤 홀로독 운전운       遊鯤獨運
능멸능 만질마 짙게붉을강 하늘소 凌摩絳?  
즐길탐 읽을독 구경완 저자시     耽讀玩市
붙일우 눈목 주머니낭 상자상     寓目囊箱
쉬울이 가벼울유 바유 두려울외   易?攸畏
붙일속 귀이 담원 담장           屬耳垣墻
갖출구 반찬선 밥손 밥반         具膳?飯
마침적 입구 채울충 창자장       適口充腸
배부를포 배부를어 삶을팽 재상재   飽食夭烹宰
주릴기 싫을염 지게미조 겨강     飢厭糟糠
친할친 겨레척 연고고 옛구       親戚故舊
늙을로 젊을소 다를이 양식량     老少異糧
첩첩 모실어 길쌈적 길쌈방       妾御績紡
모실시 수건건 장막유 방방       侍巾?房
깁환 부채선 둥글원 맑을결       紈扇圓潔
은은 촛불촉 빛날위 빛날황         銀燭?煌
낮주 잘면 저녁석 잘매           晝眠夕寐
쪽람  죽순순 코끼리상 상상      藍筍象床
줄현 노래가 술주 잔치연           絃歌酒?
접할접 잔배 들거 잔상           接杯擧觴
들교 손수 두드릴돈 발족         矯手頓足
기쁠열 미리예 또차 편안강       悅豫且康
맏적 뒤후 이을사 이을속         嫡後嗣續
제사제 제사사 찔증 맛볼상       祭祀蒸嘗
이을계 이마상 둘재 절배          稽?再拜
두려울송 두려울구 두려울공 두려울황 悚懼恐惶
편지전 편지첩 편지간 구할요     ?牒簡要
돌아볼고 대답답 살필심 자세할상 顧答審詳
뼈해 때구 생각상 목욕욕         骸垢想浴
잡을집 더울열 원할원 서늘할량   執熱願凉


나귀려 노새라 송아지독 특별특    驢?犢特
놀랄해 뛸약 뛸초 달릴양         駭躍超?
벨주 벨참 도적적 도적도         誅斬賊盜
잡을포 얻을획 배반할반 망할망   捕獲叛亡
베포 쏠사 멀료 탄자환           布射遼丸
메혜 거문고금 성완 휘파람소     ?琴阮嘯
편안할념 붓필 인륜륜 종이지     恬筆倫紙
무거울균 공교교 맡길임 낚시조    鈞巧任金勺
놓을석 어지러울분 이할리 풍속속   釋紛利俗
아우를병 다개 아름다울가 묘할묘   竝皆佳妙
털모 베풀시 맑을숙 모양자       毛施淑姿
장인공 찡그릴빈 고을연 웃음소   工嚬姸笑
해년 살시 매양매 재촉최         年矢每催
복희희 빛날휘 밝을랑 빛날요     羲暉朗曜
구슬선 구슬기 달현 돌알         璇璣懸斡
그믐회 넋백 고리환 비칠조       晦魄環照
손가락지 나무신 닦을수 복우     指薪修祐
길영 편안유 길할길 높을소       永綏吉邵
법구 걸음보 끌인 차지할령       矩步引領
굽을부 우러를앙 행랑랑 사당묘   俯仰廊廟
묶을속 띠대 자랑긍 씩씩할장     束帶矜莊
배회배 배회회 볼첨 바라볼조     徘徊瞻眺
외로울고 더러울루 적을과 들을문 孤陋寡聞
어리석을우 어릴몽 등급등 꾸짖을초 愚蒙等?
이를위 말씀어 도울조 놈자       謂語助者
어찌언 어조사재 어조사호 어조사야  焉哉乎也
